freq,indic_ppp,ppp_cat18,geo,TIME_PERIOD,values
A,VI_PPS_EU27_2020_HAB,GDP,ES,2015-01-01,91
A,VI_PPS_EU27_2020_HAB,GDP,ES,2016-01-01,92
A,VI_PPS_EU27_2020_HAB,GDP,ES,2017-01-01,93
A,VI_PPS_EU27_2020_HAB,GDP,ES,2018-01-01,91
A,VI_PPS_EU27_2020_HAB,GDP,ES,2019-01-01,91
A,VI_PPS_EU27_2020_HAB,GDP,ES,2020-01-01,83
A,VI_PPS_EU27_2020_HAB,GDP,ES,2021-01-01,85
A,VI_PPS_EU27_2020_HAB,GDP,ES,2022-01-01,88
A,VI_PPS_EU27_2020_HAB,GDP,ES,2023-01-01,91
A,VI_PPS_EU27_2020_HAB,GDP,ES,2024-01-01,91
A,VI_PPS_EU27_2020_HAB,GDP,ES,2025-01-01,92
A,VI_PPS_EU27_2020_HAB,GDP,EU27_2020,2014-01-01,100
A,VI_PPS_EU27_2020_HAB,GDP,EU27_2020,2015-01-01,100
A,VI_PPS_EU27_2020_HAB,GDP,EU27_2020,2016-01-01,100
A,VI_PPS_EU27_2020_HAB,GDP,EU27_2020,2017-01-01,100
A,VI_PPS_EU27_2020_HAB,GDP,EU27_2020,2018-01-01,100
A,VI_PPS_EU27_2020_HAB,GDP,EU27_2020,2019-01-01,100
A,VI_PPS_EU27_2020_HAB,GDP,EU27_2020,2020-01-01,100
A,VI_PPS_EU27_2020_HAB,GDP,EU27_2020,2021-01-01,100
A,VI_PPS_EU27_2020_HAB,GDP,EU27_2020,2022-01-01,100
A,VI_PPS_EU27_2020_HAB,GDP,EU27_2020,2023-01-01,100
A,VI_PPS_EU27_2020_HAB,GDP,EU27_2020,2024-01-01,100
A,VI_PPS_EU27_2020_HAB,GDP,EU27_2020,2025-01-01,100
A,VI_PPS_EU27_2020_HAB,GDP,FI,2014-01-01,111
A,VI_PPS_EU27_2020_HAB,GDP,FI,2015-01-01,109
A,VI_PPS_EU27_2020_HAB,GDP,FI,2016-01-01,109
A,VI_PPS_EU27_2020_HAB,GDP,FI,2017-01-01,110
A,VI_PPS_EU27_2020_HAB,GDP,FI,2018-01-01,109
A,VI_PPS_EU27_2020_HAB,GDP,FI,2019-01-01,107
A,VI_PPS_EU27_2020_HAB,GDP,FI,2020-01-01,112
A,VI_PPS_EU27_2020_HAB,GDP,FI,2021-01-01,109
A,VI_PPS_EU27_2020_HAB,GDP,FI,2022-01-01,106
A,VI_PPS_EU27_2020_HAB,GDP,FI,2023-01-01,103
A,VI_PPS_EU27_2020_HAB,GDP,FI,2024-01-01,102
A,VI_PPS_EU27_2020_HAB,GDP,FI,2025-01-01,101
A,VI_PPS_EU27_2020_HAB,GDP,FR,2014-01-01,108
A,VI_PPS_EU27_2020_HAB,GDP,FR,2015-01-01,106
A,VI_PPS_EU27_2020_HAB,GDP,FR,2016-01-01,105
A,VI_PPS_EU27_2020_HAB,GDP,FR,2017-01-01,103
A,VI_PPS_EU27_2020_HAB,GDP,FR,2018-01-01,103
A,VI_PPS_EU27_2020_HAB,GDP,FR,2019-01-01,105
A,VI_PPS_EU27_2020_HAB,GDP,FR,2020-01-01,104
A,VI_PPS_EU27_2020_HAB,GDP,FR,2021-01-01,101
A,VI_PPS_EU27_2020_HAB,GDP,FR,2022-01-01,97
A,VI_PPS_EU27_2020_HAB,GDP,FR,2023-01-01,99
A,VI_PPS_EU27_2020_HAB,GDP,FR,2024-01-01,98
A,VI_PPS_EU27_2020_HAB,GDP,FR,2025-01-01,98
A,VI_PPS_EU27_2020_HAB,GDP,HR,2014-01-01,60
A,VI_PPS_EU27_2020_HAB,GDP,HR,2015-01-01,61
A,VI_PPS_EU27_2020_HAB,GDP,HR,2016-01-01,62
A,VI_PPS_EU27_2020_HAB,GDP,HR,2017-01-01,63
A,VI_PPS_EU27_2020_HAB,GDP,HR,2018-01-01,64
A,VI_PPS_EU27_2020_HAB,GDP,HR,2019-01-01,67
A,VI_PPS_EU27_2020_HAB,GDP,HR,2020-01-01,66
A,VI_PPS_EU27_2020_HAB,GDP,HR,2021-01-01,70
A,VI_PPS_EU27_2020_HAB,GDP,HR,2022-01-01,72
A,VI_PPS_EU27_2020_HAB,GDP,HR,2023-01-01,78
A,VI_PPS_EU27_2020_HAB,GDP,HR,2024-01-01,78
A,VI_PPS_EU27_2020_HAB,GDP,HR,2025-01-01,78
A,VI_PPS_EU27_2020_HAB,GDP,HU,2014-01-01,69
A,VI_PPS_EU27_2020_HAB,GDP,HU,2015-01-01,70
A,VI_PPS_EU27_2020_HAB,GDP,HU,2016-01-01,69
A,VI_PPS_EU27_2020_HAB,GDP,HU,2017-01-01,69
A,VI_PPS_EU27_2020_HAB,GDP,HU,2018-01-01,72
A,VI_PPS_EU27_2020_HAB,GDP,HU,2019-01-01,73
